employee_id,area,home_lat,home_lon,age,salary_band,has_car,has_transit_pass_already,home_office_days_per_week,eco_affinity,pt_door_to_door_min,ride_min,access_min,egress_min,transfers,origin_station,dest_station,access_mode,egress_mode,first_line,car_min,car_km_oneway,car_monthly_cost_eur,commute_bucket,score_time_competitiveness,score_absolute_time,score_cost_advantage,score_convenience,score_personal_context,adoption_score,adoption_category,monthly_savings_vs_car_eur
E0001,St. Georg / Altstadt,53.566912,10.011388,47,junior,True,False,1,0.462,68.79314346310525,0.0,68.79314346310525,0.0,0,(direct),(direct),bus,-,none,37.125781833408666,17.637943038931578,222.23808229053785,> 60 min,0.166,0.121,0.951,0.476,0.167,0.361,Low,178.14
E0002,Schnelsen,53.629905,9.928277,37,mid,True,True,2,0.054,53.47619896240565,0.0,53.47619896240565,0.0,0,(direct),(direct),bus,-,none,29.016811215391225,13.042859688721693,164.34003207789334,46-60 min,0.172,0.33,0.881,0.479,0.311,0.412,Low,120.24
E0003,Billstedt,53.52205,10.040079,35,junior,False,False,2,0.634,89.5940501597053,0.0,89.5940501597053,0.0,0,(direct),(direct),bus,-,none,48.138026555138104,23.878215047911592,300.86550960368606,> 60 min,0.162,0.024,0.9,0.476,0.627,0.399,Low,256.77
E0004,Barmbek,53.595549,10.050277,48,mid,True,False,2,0.16,54.1792430257835,0.0,54.1792430257835,0.0,0,(direct),(direct),bus,-,none,29.389011013650087,13.25377290773505,166.99753863746162,46-60 min,0.172,0.318,0.886,0.479,0.082,0.376,Low,122.9
E0005,Norderstedt-Glashuette,53.684013,10.067136,42,junior,True,True,1,0.25,23.442627011448497,0.0,23.442627011448497,0.0,0,(direct),(direct),walk,-,none,9.30954734279273,1.8754101609158798,23.630168027540087,<= 30 min,0.014,0.858,0.416,0.696,0.375,0.419,Low,-20.47
E0006,Ahrensburg,53.66769,10.248693,19,junior,True,False,0,0.591,68.6378524260859,0.0,68.6378524260859,0.0,0,(direct),(direct),bus,-,none,37.043568931457244,17.59135572782577,221.65108217060472,> 60 min,0.166,0.122,0.951,0.476,0.218,0.369,Low,177.55
E0007,St. Georg / Altstadt,53.544914,10.020719,48,senior,False,False,1,0.809,78.9365084629891,0.0,78.9365084629891,0.0,0,(direct),(direct),bus,-,none,42.49579859805305,20.68095253889673,260.5800019900988,> 60 min,0.164,0.056,0.9,0.476,0.687,0.415,Low,216.48
E0008,Altona,53.537425,9.917479,40,mid,False,True,2,0.671,90.9681417098304,0.0,90.9681417098304,0.0,0,(direct),(direct),bus,-,none,48.86548678755728,24.290442512949124,306.0595756631589,> 60 min,0.162,0.021,0.9,0.476,0.884,0.437,Medium,261.96
E0009,Norderstedt-Glashuette,53.689693,10.022969,40,senior,True,False,2,0.108,24.94653640437155,0.0,24.94653640437155,0.0,0,(direct),(direct),walk,-,none,9.521863962970102,1.995722912349724,25.14610869560652,<= 30 min,0.009,0.842,0.422,0.666,0.072,0.366,Low,-18.95
E0010,Schnelsen,53.606947,9.898917,37,senior,False,False,0,0.235,67.07641789250445,0.0,67.07641789250445,0.0,0,(direct),(direct),bus,-,none,36.21692711956118,17.122925367751332,215.74885963366677,> 60 min,0.167,0.137,0.9,0.477,0.597,0.418,Low,171.65
E0011,Fuhlsbuettel,53.636244,10.043672,22,mid,True,False,2,0.904,34.56111693970297,0.0,34.56111693970297,0.0,0,(direct),(direct),bus,-,none,19.00294426219569,7.36833508191089,92.8410220320772,31-45 min,0.186,0.705,0.693,0.531,0.231,0.45,Medium,48.74
E0012,Wedel,53.596778,9.696571,33,mid,False,True,2,0.328,118.8832738282333,0.0,118.8832738282333,0.0,0,(direct),(direct),bus,-,none,63.64408614435881,32.66498214846999,411.5787750707218,> 60 min,0.158,0.002,0.9,0.476,0.816,0.422,Medium,367.48
E0013,Eimsbuettel,53.580825,9.940314,26,mid,False,True,0,0.708,69.4745031847478,0.0,69.4745031847478,0.0,0,(direct),(direct),bus,-,none,37.486501686042956,17.84235095542434,224.81362203834667,> 60 min,0.166,0.115,0.9,0.476,0.942,0.466,Medium,180.71
E0014,Rahlstedt,53.608367,10.143851,36,mid,True,False,0,0.787,57.17558414958633,0.0,57.17558414958633,0.0,0,(direct),(direct),bus,-,none,30.97530925566335,14.1526752448759,178.32370808543635,46-60 min,0.17,0.266,0.904,0.478,0.257,0.395,Low,134.22
E0015,Schnelsen,53.629906,9.916537,28,junior,True,False,0,0.586,56.11470881130227,0.0,56.11470881130227,0.0,0,(direct),(direct),bus,-,none,30.41366937068944,13.834412643390682,174.31359930672258,46-60 min,0.171,0.284,0.898,0.478,0.217,0.392,Low,130.21
E0016,Quickborn,53.735206,9.86874,42,mid,False,True,1,0.651,65.56642010655858,0.0,65.56642010655858,0.0,0,(direct),(direct),bus,-,none,35.41751652700161,16.669926031967577,210.04106800279146,> 60 min,0.167,0.153,0.9,0.477,0.905,0.468,Medium,165.94
E0017,Ohlsdorf,53.626598,10.050419,37,senior,False,False,2,0.795,39.2292494149448,0.0,39.2292494149448,0.0,0,(direct),(direct),bus,-,none,21.474308513794305,8.76877482448344,110.48656278849134,31-45 min,0.181,0.618,0.9,0.503,0.659,0.532,Medium,66.39
E0018,Norderstedt-Mitte,53.700349,9.952158,49,mid,True,False,0,0.306,37.484871203726755,0.0,37.484871203726755,0.0,0,(direct),(direct),bus,-,none,20.550814166678872,8.245461361118027,103.89281315008714,31-45 min,0.183,0.652,0.73,0.511,0.161,0.432,Medium,59.79
E0019,Rahlstedt,53.599744,10.174601,47,junior,False,False,2,0.495,65.92194737674981,0.0,65.92194737674981,0.0,0,(direct),(direct),bus,-,none,35.6057368465146,16.776584213024943,211.38496108411428,> 60 min,0.167,0.149,0.9,0.477,0.599,0.421,Medium,167.28
E0020,Eppendorf,53.585866,9.978553,44,mid,True,False,0,0.862,62.48130170177649,0.0,62.48130170177649,0.0,0,(direct),(direct),bus,-,none,33.784218547999316,15.744390510532947,198.3793204327151,> 60 min,0.168,0.189,0.929,0.477,0.272,0.386,Low,154.28
E0021,St. Georg / Altstadt,53.552188,10.026878,38,mid,True,True,1,0.232,75.28157979084233,0.0,75.28157979084233,0.0,0,(direct),(direct),bus,-,none,40.56083635985771,19.5844739372527,246.764371609384,> 60 min,0.165,0.074,0.967,0.476,0.371,0.385,Low,202.66
E0022,Langenhorn,53.65484,10.018866,29,junior,True,False,1,0.236,27.397635084567188,0.0,27.397635084567188,0.0,0,(direct),(direct),bus,-,none,15.210512691829686,5.219290525370156,65.76306061966397,<= 30 min,0.197,0.813,0.589,0.621,0.122,0.451,Medium,21.66
E0023,Ahrensburg,53.687211,10.180908,24,junior,True,False,0,0.813,48.52386743460152,0.0,48.52386743460152,0.0,0,(direct),(direct),bus,-,none,26.394988641847863,11.557160230380456,145.62021890279374,46-60 min,0.175,0.427,0.844,0.482,0.263,0.418,Low,101.52
E0024,Harburg,53.466415,9.977741,44,mid,True,True,0,0.103,117.15016695907832,74.25353791528887,11.843362753898381,31.053266289891063,1,Harburg Rathaus,Langenhorn Markt,walk,bus,S3-Sued,63.25928045861535,32.44692559321537,408.8312624745136,> 60 min,0.167,0.002,0.998,0.424,0.371,0.369,Low,364.73
E0025,Altona,53.530218,9.936952,51,mid,False,False,0,0.375,91.80221749726121,0.0,91.80221749726121,0.0,0,(direct),(direct),bus,-,none,49.30705632207947,24.540665249178364,309.2123821396474,> 60 min,0.161,0.02,0.9,0.476,0.625,0.398,Low,265.11
E0026,Henstedt-Ulzburg,53.819124,10.002991,30,junior,True,False,2,0.575,74.73168069883512,0.0,74.73168069883512,0.0,0,(direct),(direct),bus,-,none,40.269713311148,19.419504209650537,244.68575304159677,> 60 min,0.165,0.077,0.966,0.476,0.165,0.354,Low,200.59
E0027,Poppenbuettel,53.638111,10.086653,34,junior,True,False,2,0.501,36.36021523813665,0.0,36.36021523813665,0.0,0,(direct),(direct),bus,-,none,19.955408067248815,7.908064571440995,99.64161360015653,31-45 min,0.184,0.673,0.716,0.518,0.15,0.433,Medium,55.54
E0028,Norderstedt-Mitte,53.694179,10.006251,41,senior,False,True,0,0.747,21.80194209486654,0.0,21.80194209486654,0.0,0,(direct),(direct),bus,-,none,12.248086991399932,3.540582628459961,44.611341118595504,<= 30 min,0.211,0.874,0.9,0.73,0.949,0.67,High,0.51
E0029,Garstedt,53.691172,9.963531,39,junior,True,False,1,0.59,33.58028307796947,0.0,33.58028307796947,0.0,0,(direct),(direct),bus,-,none,18.483679276572072,7.07408492339084,89.1334700347246,31-45 min,0.187,0.721,0.679,0.54,0.193,0.446,Medium,45.03
E0030,Barmbek,53.59809,10.044709,31,mid,False,False,1,0.715,52.93852738234272,0.0,52.93852738234272,0.0,0,(direct),(direct),bus,-,none,28.73216155535791,12.881558214702816,162.30763350525547,46-60 min,0.172,0.34,0.9,0.479,0.668,0.472,Medium,118.21
E0031,Wandsbek,53.574544,10.075014,34,senior,True,True,1,0.512,64.91639716269547,0.0,64.91639716269547,0.0,0,(direct),(direct),bus,-,none,35.07338673319172,16.47491914880864,207.58398127498887,> 60 min,0.167,0.16,0.938,0.477,0.427,0.406,Low,163.48
E0032,Ahrensburg,53.668364,10.254426,28,mid,True,False,2,0.32,70.20323394622497,0.0,70.20323394622497,0.0,0,(direct),(direct),bus,-,none,37.87230032447204,18.060970183867493,227.5682243167304,> 60 min,0.166,0.109,0.955,0.476,0.114,0.351,Low,183.47
E0033,Langenhorn,53.673287,9.982713,36,mid,False,True,2,0.76,29.238876684933743,0.0,29.238876684933743,0.0,0,(direct),(direct),bus,-,none,16.185287656729628,5.771663005480122,72.72295386904955,<= 30 min,0.194,0.788,0.9,0.591,0.902,0.62,High,28.62
E0034,Fuhlsbuettel,53.649799,10.014582,42,junior,True,False,2,0.428,30.117265150640314,0.0,30.117265150640314,0.0,0,(direct),(direct),bus,-,none,16.65031684445664,6.035179545192094,76.04326226942038,31-45 min,0.192,0.776,0.63,0.579,0.136,0.446,Medium,31.94
E0035,Poppenbuettel,53.659364,10.090506,41,senior,True,False,2,0.852,28.493522066276878,0.0,28.493522066276878,0.0,0,(direct),(direct),bus,-,none,15.790688152734816,5.548056619883063,69.9055134105266,<= 30 min,0.195,0.798,0.606,0.603,0.22,0.463,Medium,25.81
E0036,Henstedt-Ulzburg,53.785628,9.996012,26,mid,True,False,1,0.428,59.51253337285185,0.0,59.51253337285185,0.0,0,(direct),(direct),bus,-,none,32.21251766798039,14.853760011855554,187.15737614937996,46-60 min,0.169,0.23,0.916,0.477,0.161,0.376,Low,143.06
E0037,Norderstedt-Glashuette,53.670355,10.044813,38,junior,True,False,3,0.837,18.122600291450617,0.0,18.122600291450617,0.0,0,(direct),(direct),bus,-,none,10.300200154297386,2.436780087435185,30.70342910168333,<= 30 min,0.225,0.904,0.444,0.804,0.192,0.487,Medium,-13.4
E0038,Poppenbuettel,53.67358,10.076475,19,mid,True,False,2,0.481,20.918315532381595,0.0,20.918315532381595,0.0,0,(direct),(direct),bus,-,none,11.780284693613787,3.2754946597144783,41.27123271240242,<= 30 min,0.214,0.882,0.488,0.749,0.146,0.472,Medium,-2.83
E0039,Quickborn,53.717901,9.91248,24,junior,True,False,2,0.44,50.830881452175824,0.0,50.830881452175824,0.0,0,(direct),(direct),bus,-,none,27.61634900409308,12.249264435652746,154.3407318892246,46-60 min,0.173,0.381,0.863,0.48,0.138,0.393,Low,110.24
E0040,Eimsbuettel,53.576756,9.935404,32,junior,True,True,1,0.437,71.87688413403401,0.0,71.87688413403401,0.0,0,(direct),(direct),bus,-,none,38.75835042390035,18.5630652402102,233.89462202664853,> 60 min,0.165,0.096,0.959,0.476,0.412,0.394,Low,189.79
E0041,Schnelsen,53.612667,9.914204,31,junior,False,False,2,0.7,62.004163164225105,0.0,62.004163164225105,0.0,0,(direct),(direct),bus,-,none,33.53161579282506,15.601248949267532,196.5757367607709,> 60 min,0.168,0.195,0.9,0.477,0.64,0.437,Medium,152.48
E0042,Rahlstedt,53.602081,10.16621,53,senior,False,False,0,0.167,63.507765888640634,0.0,63.507765888640634,0.0,0,(direct),(direct),bus,-,none,34.327640764574454,16.05232976659219,202.2593550590616,> 60 min,0.168,0.176,0.9,0.477,0.583,0.425,Medium,158.16
E0043,Barmbek,53.596583,10.052938,54,mid,True,True,1,0.788,53.70957853693062,0.0,53.70957853693062,0.0,0,(direct),(direct),bus,-,none,29.1403651077868,13.112873561079187,165.22220686959776,46-60 min,0.172,0.326,0.883,0.479,0.483,0.438,Medium,121.12
